Compound_ID	AD	f_0	f_1	f_2	f_3	f_4	f_5	f_6	f_7	f_8	f_9	f_10	f_11	f_12	f_13	f_14	f_15	f_16	f_17	f_18	f_19	f_20	f_21	f_22	f_23	f_24	f_25	f_26	f_27	f_28	f_29	f_30	f_31	f_32	f_33	f_34	f_35	f_36	f_37	f_38	f_39	f_40	f_41	f_42	f_43	f_44	f_45	f_46	f_47	f_48	f_49	f_50	f_51	f_52	f_53	f_54	f_55	f_56	f_57	f_58	f_59	f_60	f_61	f_62	f_63	f_64	f_65	f_66	f_67	f_68	f_69	f_70	f_71	f_72	f_73	f_74	f_75	f_76	f_77	f_78	f_79	f_80	f_81	f_82	f_83	f_84	f_85	f_86	f_87	f_88	f_89	f_90	f_91	f_92	f_93	f_94	f_95	f_96	f_97	f_98	f_99	f_100	f_101	f_102	f_103	f_104	f_105	f_106	f_107	f_108	f_109	f_110	f_111	f_112	f_113	f_114	f_115	f_116	f_117	f_118	f_119	f_120	f_121	f_122	f_123	f_124	f_125	f_126	f_127	f_128	f_129	f_130	f_131	f_132	f_133	f_134	f_135	f_136	f_137	f_138	f_139	f_140	f_141	f_142	f_143	f_144	f_145	f_146	f_147	f_148	f_149	f_150	f_151	f_152	f_153	f_154	f_155	f_156	f_157	f_158	f_159	f_160	f_161	f_162	f_163	f_164	f_165	f_166	f_167	f_168	f_169	f_170	f_171	f_172	f_173	f_174	f_175	f_176	f_177	f_178	f_179	f_180	f_181	f_182	f_183	f_184	f_185	f_186	f_187	f_188	f_189	f_190	f_191	f_192	f_193	f_194	f_195	f_196	f_197	f_198	f_199	f_200	f_201	f_202	f_203	f_204	f_205	f_206	f_207	f_208	f_209	f_210	f_211	f_212	f_213	f_214	f_215	f_216	f_217	f_218	f_219	f_220	f_221	f_222	f_223	f_224	f_225	f_226	f_227	f_228	f_229	f_230	f_231	f_232	f_233	f_234	f_235	f_236	f_237	f_238	f_239	f_240	f_241	f_242	f_243	f_244	f_245	f_246	f_247	f_248	f_249	f_250	f_251	f_252	f_253	f_254	f_255
CHEMBL228812	1	4.0	26.0	22.0	2.0	30.0	68.0	10.0	6.0	8.0	12.0	56.0	4.0	8.0	8.0	4.0	72.0	26.0	4.0	40.0	20.0	10.0	14.0	8.0	10.0	66.0	16.0	2.0	58.0	20.0	24.0	10.0	56.0	18.0	92.0	20.0	0.0	90.0	68.0	96.0	86.0	30.0	52.0	26.0	6.0	16.0	44.0	22.0	8.0	22.0	28.0	22.0	6.0	6.0	8.0	38.0	10.0	14.0	4.0	72.0	18.0	0.0	10.0	8.0	48.0	58.0	6.0	80.0	60.0	2.0	66.0	4.0	10.0	4.0	24.0	104.0	68.0	0.0	92.0	2.0	38.0	120.0	150.0	24.0	10.0	0.0	6.0	10.0	80.0	16.0	6.0	132.0	2.0	10.0	2.0	6.0	62.0	94.0	12.0	2.0	6.0	150.0	8.0	58.0	2.0	4.0	18.0	6.0	108.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	62.0	16.0	10.0	18.0	26.0	4.0	68.0	92.0	14.0	10.0	80.0	10.0	14.0	138.0	22.0	38.0	16.0	4.0	42.0	10.0	62.0	66.0	6.0	112.0	6.0	74.0	10.0	64.0	56.0	24.0	6.0	4.0	140.0	6.0	32.0	66.0	30.0	2.0	0.0	8.0	20.0	0.0	12.0	72.0	14.0	18.0	8.0	16.0	6.0	10.0	12.0	4.0	70.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	60.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	76.0	14.0	18.0	14.0	16.0	4.0	68.0	58.0	34.0	32.0	16.0	6.0	14.0	74.0	18.0	24.0	52.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	24.0	4.0	10.0	42.0	66.0	144.0	38.0	26.0	16.0	106.0	4.0	6.0	14.0	24.0	18.0	42.0	4.0	32.0	4.0	14.0	22.0	18.0	12.0	16.0	34.0	8.0	18.0	24.0	22.0	10.0	2.0	2.0	32.0	24.0	0.0	66.0	2.0	66.0	14.0	8.0	56.0	8.0	36.0	10.0	6.0	8.0	108.0
CHEMBL494060	1	54.0	26.0	22.0	52.0	30.0	18.0	60.0	6.0	8.0	12.0	6.0	4.0	8.0	58.0	4.0	22.0	26.0	54.0	90.0	20.0	10.0	64.0	8.0	10.0	16.0	16.0	2.0	58.0	20.0	24.0	10.0	6.0	18.0	92.0	70.0	0.0	40.0	18.0	96.0	86.0	30.0	2.0	76.0	6.0	16.0	44.0	22.0	8.0	22.0	28.0	22.0	6.0	56.0	8.0	88.0	10.0	14.0	4.0	22.0	18.0	0.0	10.0	8.0	98.0	58.0	6.0	80.0	110.0	2.0	16.0	4.0	10.0	4.0	74.0	54.0	68.0	0.0	42.0	2.0	38.0	120.0	150.0	74.0	10.0	0.0	6.0	10.0	30.0	16.0	6.0	82.0	2.0	10.0	2.0	6.0	12.0	44.0	12.0	2.0	6.0	150.0	8.0	58.0	2.0	4.0	18.0	6.0	58.0	66.0	8.0	10.0	4.0	2.0	12.0	62.0	12.0	66.0	10.0	18.0	76.0	4.0	18.0	142.0	64.0	10.0	30.0	10.0	14.0	138.0	22.0	38.0	16.0	4.0	42.0	10.0	12.0	116.0	6.0	62.0	6.0	24.0	10.0	14.0	6.0	74.0	56.0	4.0	140.0	6.0	32.0	16.0	30.0	2.0	0.0	8.0	70.0	0.0	12.0	72.0	14.0	68.0	8.0	66.0	6.0	10.0	12.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	56.0	56.0	52.0	10.0	70.0	60.0	70.0	4.0	6.0	12.0	74.0	26.0	14.0	68.0	14.0	66.0	4.0	18.0	8.0	34.0	82.0	16.0	6.0	14.0	74.0	18.0	74.0	52.0	8.0	10.0	60.0	6.0	6.0	56.0	16.0	24.0	24.0	4.0	10.0	42.0	16.0	144.0	38.0	26.0	16.0	106.0	54.0	6.0	14.0	24.0	18.0	92.0	4.0	82.0	54.0	14.0	22.0	18.0	12.0	16.0	34.0	58.0	18.0	74.0	22.0	60.0	2.0	2.0	32.0	24.0	0.0	16.0	2.0	16.0	14.0	8.0	6.0	8.0	36.0	10.0	6.0	8.0	108.0
CHEMBL259998	1	4.0	26.0	72.0	2.0	30.0	18.0	10.0	6.0	8.0	62.0	6.0	4.0	8.0	8.0	4.0	22.0	26.0	4.0	90.0	20.0	10.0	14.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	74.0	10.0	6.0	18.0	42.0	20.0	0.0	90.0	18.0	96.0	36.0	30.0	2.0	26.0	6.0	66.0	44.0	72.0	8.0	72.0	78.0	22.0	6.0	6.0	8.0	38.0	60.0	14.0	4.0	22.0	18.0	0.0	10.0	8.0	48.0	58.0	6.0	30.0	60.0	2.0	16.0	4.0	10.0	4.0	24.0	54.0	18.0	0.0	92.0	2.0	38.0	70.0	150.0	74.0	10.0	0.0	6.0	10.0	80.0	16.0	6.0	132.0	2.0	10.0	2.0	6.0	12.0	44.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	58.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	26.0	4.0	18.0	142.0	14.0	10.0	30.0	10.0	14.0	138.0	22.0	88.0	16.0	4.0	42.0	10.0	12.0	66.0	6.0	112.0	6.0	24.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	6.0	82.0	16.0	80.0	2.0	0.0	8.0	20.0	0.0	12.0	122.0	14.0	18.0	8.0	16.0	6.0	10.0	12.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	60.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	26.0	14.0	18.0	14.0	16.0	4.0	18.0	8.0	84.0	32.0	16.0	6.0	14.0	24.0	18.0	74.0	102.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	24.0	4.0	10.0	92.0	16.0	144.0	38.0	76.0	16.0	56.0	4.0	6.0	14.0	24.0	68.0	42.0	4.0	82.0	4.0	64.0	22.0	18.0	12.0	16.0	84.0	8.0	18.0	24.0	22.0	10.0	2.0	2.0	82.0	24.0	0.0	66.0	2.0	16.0	14.0	8.0	6.0	8.0	36.0	10.0	6.0	8.0	58.0
CHEMBL597793	1	4.0	26.0	72.0	2.0	30.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	8.0	8.0	4.0	22.0	26.0	4.0	90.0	20.0	10.0	64.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	74.0	10.0	6.0	18.0	42.0	20.0	0.0	90.0	18.0	96.0	36.0	30.0	52.0	26.0	6.0	16.0	44.0	72.0	8.0	72.0	78.0	22.0	6.0	6.0	8.0	88.0	60.0	14.0	4.0	22.0	18.0	0.0	10.0	8.0	48.0	58.0	6.0	30.0	60.0	2.0	16.0	4.0	10.0	4.0	24.0	54.0	18.0	0.0	92.0	2.0	38.0	120.0	150.0	74.0	10.0	0.0	6.0	10.0	80.0	16.0	6.0	132.0	2.0	10.0	2.0	6.0	12.0	44.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	108.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	26.0	4.0	18.0	142.0	14.0	10.0	30.0	10.0	14.0	138.0	22.0	88.0	16.0	4.0	42.0	10.0	12.0	66.0	6.0	112.0	6.0	24.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	6.0	82.0	16.0	80.0	2.0	0.0	8.0	20.0	0.0	12.0	122.0	14.0	18.0	8.0	16.0	6.0	10.0	12.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	10.0	20.0	10.0	70.0	4.0	6.0	12.0	74.0	26.0	14.0	18.0	14.0	16.0	4.0	18.0	8.0	84.0	32.0	16.0	6.0	14.0	24.0	18.0	74.0	102.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	24.0	4.0	10.0	92.0	16.0	144.0	38.0	76.0	16.0	106.0	4.0	6.0	14.0	24.0	68.0	42.0	4.0	82.0	4.0	14.0	22.0	18.0	12.0	66.0	84.0	8.0	18.0	24.0	22.0	10.0	2.0	2.0	82.0	24.0	0.0	16.0	2.0	16.0	14.0	58.0	6.0	58.0	36.0	10.0	6.0	8.0	58.0
CHEMBL226712	1	4.0	76.0	22.0	2.0	30.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	8.0	8.0	4.0	22.0	26.0	4.0	90.0	20.0	60.0	14.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	24.0	10.0	6.0	18.0	42.0	20.0	0.0	40.0	18.0	96.0	36.0	30.0	2.0	76.0	6.0	16.0	44.0	72.0	8.0	72.0	78.0	22.0	6.0	6.0	8.0	38.0	10.0	14.0	4.0	22.0	18.0	0.0	60.0	8.0	48.0	58.0	6.0	80.0	110.0	2.0	16.0	4.0	10.0	4.0	24.0	54.0	18.0	0.0	42.0	2.0	38.0	70.0	150.0	24.0	10.0	0.0	56.0	10.0	30.0	16.0	56.0	132.0	2.0	10.0	2.0	6.0	12.0	44.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	58.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	26.0	4.0	18.0	142.0	14.0	10.0	30.0	10.0	14.0	138.0	22.0	38.0	16.0	4.0	42.0	10.0	12.0	116.0	6.0	62.0	6.0	24.0	10.0	14.0	6.0	24.0	56.0	4.0	140.0	6.0	32.0	16.0	30.0	2.0	0.0	8.0	20.0	0.0	12.0	72.0	14.0	18.0	8.0	16.0	6.0	10.0	12.0	4.0	70.0	8.0	2.0	56.0	4.0	124.0	6.0	6.0	52.0	10.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	26.0	14.0	18.0	14.0	66.0	4.0	18.0	8.0	34.0	32.0	16.0	6.0	64.0	24.0	18.0	24.0	52.0	58.0	10.0	10.0	6.0	6.0	56.0	16.0	24.0	24.0	4.0	10.0	42.0	16.0	144.0	88.0	76.0	16.0	56.0	4.0	6.0	14.0	24.0	18.0	42.0	4.0	32.0	4.0	14.0	22.0	18.0	12.0	66.0	84.0	8.0	18.0	24.0	22.0	10.0	2.0	2.0	32.0	24.0	0.0	16.0	2.0	16.0	14.0	8.0	6.0	8.0	36.0	10.0	6.0	8.0	58.0
CHEMBL593490	1	4.0	76.0	22.0	2.0	30.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	8.0	8.0	4.0	22.0	26.0	4.0	90.0	70.0	10.0	14.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	74.0	10.0	6.0	18.0	92.0	20.0	0.0	40.0	68.0	96.0	36.0	80.0	2.0	26.0	6.0	16.0	44.0	22.0	8.0	22.0	28.0	22.0	6.0	6.0	8.0	38.0	10.0	64.0	4.0	22.0	18.0	0.0	10.0	8.0	48.0	108.0	6.0	80.0	110.0	2.0	66.0	4.0	60.0	54.0	24.0	104.0	18.0	0.0	92.0	2.0	88.0	120.0	150.0	24.0	10.0	0.0	6.0	10.0	80.0	16.0	6.0	132.0	2.0	60.0	2.0	6.0	12.0	94.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	108.0	66.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	68.0	76.0	4.0	18.0	142.0	14.0	10.0	30.0	60.0	14.0	138.0	22.0	88.0	16.0	4.0	42.0	10.0	12.0	116.0	6.0	62.0	6.0	74.0	60.0	14.0	6.0	74.0	56.0	4.0	140.0	6.0	32.0	16.0	30.0	2.0	0.0	8.0	20.0	0.0	62.0	72.0	14.0	18.0	58.0	16.0	6.0	10.0	62.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	102.0	10.0	20.0	60.0	20.0	4.0	6.0	12.0	74.0	76.0	14.0	68.0	14.0	16.0	4.0	18.0	8.0	34.0	82.0	16.0	6.0	14.0	24.0	18.0	24.0	52.0	8.0	60.0	10.0	56.0	6.0	6.0	16.0	74.0	24.0	4.0	10.0	92.0	16.0	144.0	38.0	26.0	16.0	56.0	4.0	6.0	14.0	24.0	18.0	42.0	54.0	32.0	4.0	14.0	22.0	18.0	12.0	16.0	34.0	8.0	18.0	24.0	22.0	60.0	2.0	2.0	32.0	24.0	0.0	16.0	2.0	16.0	64.0	8.0	6.0	8.0	36.0	10.0	6.0	8.0	108.0
CHEMBL599448	1	4.0	26.0	72.0	2.0	30.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	8.0	8.0	4.0	72.0	26.0	4.0	40.0	70.0	10.0	14.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	24.0	10.0	6.0	18.0	42.0	20.0	0.0	90.0	68.0	96.0	86.0	30.0	2.0	76.0	6.0	16.0	44.0	72.0	8.0	72.0	78.0	72.0	6.0	6.0	8.0	88.0	10.0	14.0	4.0	22.0	18.0	0.0	10.0	8.0	48.0	58.0	6.0	80.0	60.0	2.0	16.0	54.0	10.0	4.0	24.0	104.0	18.0	0.0	92.0	2.0	38.0	120.0	150.0	74.0	10.0	0.0	6.0	10.0	80.0	16.0	6.0	132.0	2.0	10.0	2.0	6.0	12.0	44.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	58.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	76.0	4.0	18.0	142.0	64.0	10.0	80.0	60.0	14.0	138.0	22.0	38.0	16.0	4.0	42.0	10.0	12.0	66.0	6.0	112.0	6.0	24.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	6.0	32.0	16.0	80.0	2.0	0.0	8.0	20.0	0.0	12.0	122.0	14.0	18.0	8.0	16.0	6.0	10.0	12.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	10.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	26.0	14.0	18.0	14.0	16.0	4.0	18.0	8.0	34.0	32.0	16.0	6.0	14.0	74.0	18.0	74.0	102.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	74.0	4.0	10.0	42.0	16.0	144.0	38.0	76.0	16.0	106.0	4.0	6.0	14.0	24.0	68.0	42.0	4.0	82.0	4.0	14.0	22.0	18.0	62.0	16.0	34.0	8.0	18.0	24.0	22.0	10.0	2.0	2.0	82.0	24.0	0.0	16.0	2.0	16.0	14.0	8.0	6.0	8.0	36.0	10.0	6.0	8.0	108.0
CHEMBL598013	1	4.0	26.0	22.0	2.0	30.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	8.0	8.0	4.0	72.0	26.0	4.0	40.0	70.0	10.0	64.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	24.0	60.0	6.0	18.0	42.0	20.0	0.0	90.0	18.0	46.0	36.0	30.0	2.0	76.0	6.0	16.0	44.0	72.0	8.0	72.0	78.0	72.0	6.0	6.0	58.0	88.0	10.0	64.0	4.0	22.0	18.0	0.0	10.0	8.0	48.0	58.0	6.0	30.0	60.0	2.0	16.0	4.0	10.0	4.0	24.0	104.0	18.0	0.0	92.0	2.0	38.0	120.0	150.0	74.0	10.0	0.0	6.0	60.0	30.0	66.0	6.0	132.0	2.0	10.0	2.0	6.0	12.0	94.0	62.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	58.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	76.0	4.0	18.0	142.0	14.0	10.0	30.0	10.0	14.0	138.0	22.0	38.0	16.0	4.0	42.0	10.0	12.0	66.0	6.0	112.0	6.0	24.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	6.0	32.0	16.0	80.0	2.0	0.0	8.0	20.0	0.0	12.0	122.0	14.0	18.0	8.0	16.0	6.0	10.0	12.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	10.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	26.0	14.0	18.0	14.0	16.0	4.0	18.0	8.0	34.0	32.0	16.0	6.0	14.0	24.0	68.0	24.0	102.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	24.0	4.0	10.0	42.0	16.0	144.0	38.0	76.0	16.0	106.0	4.0	6.0	14.0	24.0	18.0	42.0	4.0	32.0	4.0	14.0	22.0	18.0	62.0	16.0	34.0	8.0	18.0	24.0	72.0	10.0	2.0	2.0	82.0	24.0	0.0	16.0	2.0	16.0	14.0	58.0	6.0	8.0	36.0	10.0	6.0	8.0	108.0
CHEMBL260463	1	4.0	26.0	72.0	2.0	30.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	8.0	8.0	4.0	72.0	26.0	4.0	40.0	70.0	60.0	14.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	24.0	10.0	6.0	18.0	42.0	20.0	0.0	90.0	18.0	96.0	36.0	30.0	2.0	76.0	6.0	66.0	44.0	72.0	8.0	72.0	78.0	72.0	6.0	6.0	8.0	38.0	10.0	14.0	4.0	22.0	18.0	0.0	10.0	8.0	48.0	58.0	6.0	30.0	60.0	2.0	16.0	4.0	10.0	4.0	24.0	104.0	18.0	0.0	92.0	2.0	38.0	120.0	150.0	74.0	10.0	0.0	6.0	10.0	80.0	16.0	6.0	132.0	2.0	10.0	2.0	6.0	12.0	44.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	58.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	76.0	4.0	18.0	142.0	64.0	10.0	30.0	60.0	14.0	138.0	22.0	38.0	16.0	4.0	42.0	10.0	12.0	66.0	6.0	112.0	6.0	24.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	6.0	32.0	16.0	80.0	2.0	0.0	8.0	20.0	0.0	12.0	122.0	14.0	18.0	8.0	16.0	6.0	10.0	62.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	60.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	26.0	14.0	18.0	14.0	16.0	4.0	18.0	8.0	34.0	32.0	16.0	6.0	14.0	24.0	18.0	74.0	102.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	24.0	4.0	10.0	42.0	66.0	144.0	38.0	76.0	16.0	56.0	4.0	6.0	14.0	24.0	68.0	42.0	4.0	82.0	4.0	64.0	22.0	18.0	62.0	16.0	34.0	8.0	18.0	24.0	22.0	10.0	2.0	2.0	32.0	24.0	0.0	16.0	2.0	16.0	14.0	8.0	6.0	8.0	36.0	10.0	6.0	8.0	58.0
CHEMBL446134	1	4.0	76.0	22.0	2.0	30.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	58.0	8.0	4.0	22.0	76.0	4.0	40.0	20.0	10.0	14.0	8.0	60.0	66.0	66.0	2.0	8.0	20.0	24.0	10.0	56.0	18.0	42.0	70.0	0.0	40.0	18.0	46.0	36.0	30.0	2.0	26.0	6.0	16.0	94.0	22.0	8.0	22.0	78.0	22.0	6.0	6.0	8.0	88.0	60.0	14.0	4.0	72.0	68.0	0.0	10.0	8.0	98.0	108.0	6.0	30.0	110.0	2.0	16.0	4.0	10.0	4.0	74.0	104.0	18.0	0.0	42.0	2.0	38.0	120.0	150.0	24.0	60.0	0.0	6.0	10.0	30.0	16.0	6.0	132.0	2.0	10.0	2.0	6.0	12.0	94.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	108.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	76.0	4.0	68.0	142.0	14.0	10.0	80.0	10.0	14.0	138.0	22.0	88.0	66.0	4.0	92.0	10.0	12.0	116.0	6.0	112.0	6.0	74.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	6.0	32.0	16.0	30.0	2.0	0.0	8.0	20.0	50.0	12.0	122.0	14.0	18.0	8.0	16.0	6.0	10.0	12.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	102.0	10.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	26.0	14.0	18.0	14.0	16.0	4.0	18.0	8.0	84.0	82.0	16.0	6.0	14.0	24.0	18.0	24.0	102.0	8.0	60.0	10.0	6.0	56.0	6.0	16.0	74.0	74.0	4.0	10.0	92.0	66.0	144.0	88.0	26.0	16.0	106.0	4.0	6.0	14.0	74.0	18.0	92.0	4.0	32.0	4.0	14.0	72.0	18.0	12.0	16.0	34.0	8.0	68.0	24.0	72.0	10.0	2.0	2.0	32.0	74.0	0.0	16.0	2.0	16.0	14.0	8.0	6.0	8.0	86.0	10.0	6.0	8.0	108.0
CHEMBL498051	1	4.0	76.0	72.0	2.0	80.0	18.0	10.0	6.0	8.0	12.0	6.0	4.0	8.0	8.0	4.0	22.0	26.0	4.0	40.0	70.0	10.0	14.0	8.0	10.0	66.0	16.0	2.0	8.0	20.0	24.0	10.0	6.0	18.0	42.0	20.0	0.0	40.0	18.0	96.0	86.0	30.0	2.0	26.0	6.0	16.0	44.0	72.0	8.0	22.0	28.0	72.0	6.0	6.0	8.0	38.0	10.0	14.0	4.0	22.0	68.0	0.0	10.0	8.0	48.0	58.0	56.0	30.0	110.0	2.0	16.0	4.0	10.0	4.0	24.0	104.0	18.0	0.0	92.0	2.0	88.0	120.0	150.0	24.0	10.0	0.0	6.0	10.0	80.0	16.0	56.0	132.0	2.0	10.0	2.0	6.0	62.0	94.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	18.0	6.0	108.0	16.0	8.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	60.0	18.0	26.0	4.0	68.0	142.0	14.0	10.0	80.0	10.0	64.0	138.0	22.0	88.0	16.0	4.0	42.0	10.0	12.0	66.0	6.0	112.0	6.0	24.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	6.0	32.0	16.0	30.0	2.0	0.0	58.0	20.0	0.0	12.0	72.0	64.0	18.0	8.0	66.0	56.0	10.0	12.0	4.0	70.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	10.0	20.0	10.0	20.0	4.0	6.0	62.0	24.0	76.0	14.0	18.0	14.0	16.0	4.0	18.0	8.0	34.0	32.0	16.0	6.0	14.0	24.0	18.0	74.0	52.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	74.0	4.0	10.0	42.0	66.0	144.0	38.0	76.0	16.0	106.0	4.0	6.0	14.0	24.0	68.0	42.0	4.0	82.0	4.0	14.0	22.0	68.0	12.0	16.0	34.0	8.0	18.0	24.0	72.0	10.0	2.0	2.0	82.0	24.0	0.0	16.0	2.0	16.0	14.0	8.0	6.0	8.0	36.0	10.0	6.0	8.0	58.0
CHEMBL603244	1	4.0	26.0	72.0	2.0	30.0	18.0	10.0	6.0	8.0	62.0	6.0	4.0	8.0	8.0	4.0	22.0	26.0	4.0	90.0	20.0	10.0	64.0	8.0	10.0	16.0	16.0	2.0	8.0	20.0	74.0	10.0	6.0	18.0	42.0	20.0	0.0	90.0	18.0	96.0	86.0	30.0	2.0	26.0	6.0	16.0	44.0	72.0	8.0	72.0	78.0	22.0	6.0	6.0	8.0	38.0	60.0	14.0	4.0	22.0	18.0	0.0	10.0	8.0	48.0	58.0	6.0	30.0	60.0	2.0	16.0	4.0	10.0	4.0	24.0	54.0	18.0	0.0	92.0	2.0	38.0	120.0	150.0	74.0	10.0	0.0	6.0	10.0	80.0	16.0	6.0	132.0	2.0	10.0	2.0	6.0	12.0	44.0	12.0	2.0	6.0	150.0	8.0	8.0	2.0	4.0	68.0	6.0	58.0	16.0	58.0	10.0	4.0	2.0	12.0	12.0	12.0	16.0	10.0	18.0	26.0	4.0	18.0	142.0	14.0	10.0	80.0	10.0	14.0	138.0	72.0	88.0	16.0	4.0	42.0	10.0	12.0	66.0	6.0	112.0	6.0	24.0	10.0	14.0	6.0	24.0	6.0	4.0	140.0	56.0	82.0	16.0	80.0	2.0	50.0	8.0	20.0	0.0	12.0	122.0	14.0	18.0	58.0	16.0	6.0	10.0	12.0	4.0	120.0	8.0	2.0	6.0	4.0	124.0	6.0	6.0	52.0	10.0	20.0	10.0	20.0	4.0	6.0	12.0	24.0	26.0	14.0	18.0	14.0	16.0	4.0	18.0	58.0	84.0	32.0	16.0	6.0	14.0	74.0	18.0	74.0	102.0	8.0	10.0	10.0	6.0	6.0	6.0	16.0	24.0	24.0	4.0	10.0	42.0	16.0	144.0	38.0	76.0	16.0	56.0	4.0	6.0	14.0	24.0	68.0	42.0	4.0	82.0	4.0	14.0	22.0	68.0	12.0	16.0	84.0	8.0	18.0	24.0	22.0	10.0	2.0	2.0	82.0	24.0	0.0	16.0	2.0	16.0	14.0	58.0	6.0	8.0	36.0	10.0	6.0	8.0	58.0
